x,y,z,yaw,name
-16.079634,53.389706,0.3949353,0.0032055,via103
-14.295293,53.436035,0.374911,1.0048221,via104
-13.683352,54.368187,0.3935705,0.9163067,dry-leaked-14
-14.003392,54.040833,0.3838986,0.7969406,dry-thermal-37
-15.217067,52.768318,0.4084449,-2.3553998,dry-vibration-29
-15.308228,52.844437,0.4207316,-0.7438679,dry-thermal-38
-15.173702,52.927944,0.4036244,-2.5793097,dry-leaked-15
-15.036955,52.657925,0.4167925,2.1549885,dry-vibration-30
-16.828808,55.665764,0.4302805,-2.6268747,via105
-19.141607,54.273815,0.447907,-1.5648448,via106
-19.044449,53.327171,0.4680993,-1.2068074,dry-vibration-31
-19.060865,53.404507,0.4460327,-1.2044122,dry-leaked-16
-19.193733,53.719162,0.4687924,1.9562103,dry-thermal-39
-19.847895,54.793316,0.5031143,2.4472759,dry-thermal-40
-20.54504,55.234341,0.4502078,-2.7206843,via107
-21.12993,54.850586,0.454597,-1.8561542,dry-leaked-17
-21.12993,54.850586,0.454597,-1.8561542,dry-vibration-32
-21.58606,54.387123,0.4667098,3.0862315,via108
-22.405848,54.659859,0.45826,-3.1394737,via109
-25.472195,54.572968,0.533242,-3.125958,via110-tube
-26.354784,54.766659,0.4284801,-1.5873759,dry-leaked-18
-26.313885,54.790646,0.4308046,-1.3173777,dry-vibration-33-low
-26.256153,54.679367,0.4280077,1.8641832,dry-thermal-41
-26.32608,54.668022,0.5667954,1.1052592,dry-leaked-19
-26.336849,54.666855,0.4283397,1.1040727,dry-leaked-20-low
-27.857998,55.196262,0.4679897,1.5771409,dry-leaked-21
-28.503855,54.963081,0.4549172,-3.1062205,dry-leaked-22
-29.005487,54.002663,0.431294,-0.6731449,dry-leaked-23
-29.015585,54.00927,0.4391469,-0.6730273,dry-vibration-34-low
-28.857677,51.202293,0.4036533,-0.3717459,dry-leaked-24-low
-28.819695,51.58263,0.4205158,-2.8815339,dry-thermal-42
-29.030865,54.588818,0.4496212,1.0660921,via111
-28.921955,54.573765,0.4636385,0.8302897,dry-loto-06
-26.102163,54.703712,0.5209481,-0.0016474,via112
-23.35404,54.589512,0.5091032,0.1014953,via113
-20.161556,54.995094,0.484966,-0.726587,dry-vibration-35
-20.152693,55.009987,0.4944817,-0.7238528,dry-leaked-25
-19.4623,54.8454,0.0,0.0493,via114
-16.3417529076239,54.99497161555462,0.442788,1.5202011,via115
-16.901241,57.483002,0.4572567,-2.5714045,dry-leaked-26
-16.399345,57.687763,0.2963256,-3.0233803,dry-thermal-43
-16.434793,57.63084,0.2992198,0.2034097,dry-vibration-36-low
-16.19776,59.921383,0.2973842,0.1695735,dry-vibration-37
