x,y,z,yaw,name
2.6773,0.9976,-0.1385,-1.5534,via248
2.6785233,-5.8741064,-0.0573276,-1.6264304,leaked-68
5.736246454141835,-5.655646550548738,0.0,-1.5211,via249
5.819402751200727,-8.954179667217659,0.0,-2.574863436066276,via250
4.287724,-9.9147444,-0.0890246,0.0665922,gauge-24
4.2775087,-9.9292812,-0.0767778,0.0664163,gauge-25
5.935489031482021,-9.869826994701896,-0.1069547,-1.5399556112382424,via251
5.9263,-13.0972,-0.1155,-2.5302,via252
1.8020425,-15.402059,-0.1086813,-2.2070725,via253
1.1595911,-17.229944,-0.276143,-0.8471297,vibration-69
0.9311262,-19.110853,-0.1210363,-1.6433092,thermal-81
0.3179046,-21.565989,-0.0950447,-2.3107119,vibration-70
0.3414553,-21.629784,-0.0730842,-2.4211366,thermal-82
0.3428123,-22.070564,-0.177031,-1.5745362,via254
0.7691355,-23.246767,-0.1770032,-1.5109856,via255
0.8905507,-28.949793,-0.1907547,-1.584335,via256
0.6357459,-29.608582,-0.116351,-2.26402,vibration-71
0.6399065,-29.614731,-0.124882,-2.2617702,thermal-83
0.5841429,-30.382301,-0.1680316,1.6065663,via257
0.9198136,-29.327078,-0.1799835,1.5938865,via258
0.8855172,-17.997511,-0.1313122,1.5741249,via259
2.0527444,-14.638532,-0.1088041,0.2530537,via260
5.9876652,-13.847397,-0.1471113,-1.5044973,via261
6.0662026,-16.851242,-0.1678276,-1.4872916,via262
4.1543407,-19.49415,-0.2904346,-2.1275306,vibration-72
4.1430941,-19.484821,-0.2819623,-2.1280029,thermal-84
6.2872338,-19.629864,-0.193073,-1.5210451,via263
6.3347282,-22.516882,-0.2061034,3.1386471,via264
4.7486939,-22.585415,-0.3010674,-3.1071985,leaked-69
4.7447543,-22.580954,-0.3079761,-3.1067195,thermal-85
6.328723,-24.736853,-0.2601562,-1.5521592,via265
6.7013922,-35.770432,-0.3021919,-3.0614903,via266
4.2996516,-35.856426,-0.2845119,-3.0480809,via267
3.9058735,-35.393166,-0.3893819,2.4240642,leaked-70
1.9743022,-35.375969,-0.3298025,-3.1099238,thermal-86
1.2045648,-35.08321,-0.2985203,2.7617419,vibration-73
1.2882047,-35.188362,-0.2990898,-3.0491853,thermal-87
1.8168,-35.6425,-0.1868,-2.6483,via268
-1.2573,-37.1294,-0.0838,3.0733,via269
-3.7214,-36.649,0.0071,1.5779,via270
-3.8097,-34.2257,-0.0447,1.5844,via271
-4.1406612,-33.345997,-0.1572557,1.1725346,vibration-74
-4.1117716,-33.457485,-0.1743589,1.5906079,thermal-88
-4.1072354,-33.877262,-0.0395294,1.6298928,via272
-7.8807,-36.2219,0.1071,-0.8764,via273
-5.5838161,-39.09016,0.1177309,-3.0950902,loto-22
-7.881077264622398,-36.50889946875432,0.1138688,1.6144861,via274
-7.9652038,-31.021759,0.1380099,-3.0873899,loto-23
-8.094285,-29.65258,0.1257821,-3.100637,loto-24
-6.5495925,-27.435862,0.125507,2.2612619,loto-25
-9.3844337,-22.668528,0.1197611,-2.8964279,loto-26
-7.8888435,-22.640476,0.0673424,1.6100764,via275
-8.1791115,-11.117589,0.0324062,1.5551722,via276
-6.7207503,-10.941234,-0.1416232,0.0264439,asset-12
-6.3610725,-8.0933809,-0.0288059,1.615133,via277
-6.123398894593592,-5.623722370795491,0.0,0.035699112679313603,via278
1.859051247745228,-4.919388534706798,0.0,1.5707963267948806,via279
1.8640535124621778,0.9623843710470794,0.0,0.0267,via280
11.5065,1.5262,-0.1385,-3.086,via-h2-03
32.92182171332665,2.4381314561853173,-0.1116,0.0326,via-2h-x0
42.08862822662648,2.8768215657936764,-0.1450856,-1.5989308,via-2h-x1
41.834301,-2.5242805,-0.270077,-1.5337039,via-2h-x2
42.0123,-13.5964,-0.3064,-1.5708,via-2h-x3
41.83852,-16.159822,-0.2800744,-0.0763338,ChargeIn
